"Наименование товара";"Цена товара";"Ссылка на товар";"Производитель"
"Гипотиазид таблетки 25мг 20 шт.";"91";"https://zdravcity.ru/p_gipotiazid-tab-25mg-n20-0005949.html";"Chinoin"
"Бутадион мазь 5% 20г";"241";"https://zdravcity.ru/p_butadion-maz-5-20g-0009963.html";"ОАО Гедеон Рихтер"
"Бутадион мазь д/нар. прим. 5% туба 20г №1";"0";"https://zdravcity.ru/p_butadion-maz-d-nar-prim-5-tuba-20g-n1-0110081.html";"Озон ООО"
"Бутадион мазь д/нар. прим. 5% 20г";"0";"https://zdravcity.ru/p_butadion-maz-d-nar-prim-5-tuba-20g-n1-0150537.html";"Озон ООО"
"Алмагель А сусп. 170мл";"268";"https://zdravcity.ru/p_almagel-a-susp-170ml-n1-0014598.html";"Balkanpharma"
"Алмагель А сусп. Для приема внутрь 10мл пакетик 10 шт.";"280";"https://zdravcity.ru/p_almagel-a-susp-d-priema-vnutr-paketik-10ml-n10-0090881.html";"Балканфарма-Троян АД"
"Нолипрел А Форте таблетки п.п.о. 5мг+1,25мг 30 шт.";"675";"https://zdravcity.ru/p_noliprel-a-forte-tab-p-p-o-5mg-1-25mg-n30-0027466.html";"ООО Сервье Рус"
"Экспресс-тест Стрептатест для диагностики стрептококка группы А 20 шт.";"0";"https://zdravcity.ru/p_streptatest-jekspress-test-dlja-diagnostiki-streptokokka-gruppy-a-n20-0089795.html";"Биосинекс С.А."
"Нолипрел А Би-Форте таблетки п.п.о. 10мг+2,5мг 30 шт.";"748";"https://zdravcity.ru/p_noliprel-a-biforte-tab-p-p-o-10mg-2-5mg-n30-0005760.html";"ООО Сервье Рус"
"Ретинол пальмитат (витамин А) раствор масляный 100тыс. МЕ/мл 10мл";"134";"https://zdravcity.ru/p_retinol-palmitat-vit-a-r-r-masljanyj-100tys-me-ml-10ml-n1-0017685.html";"АО Ретиноиды"
"Мультивитамины от А до Цинка таблетки шипучие Эвалар 3,8г 20шт";"439";"https://zdravcity.ru/p_multivitaminy-ot-a-do-cinka-tab-ship-3-8g-n20-bad-0117909.html";"Эвалар ЗАО"
"Анеста-А крем д/местн. и нар. прим. 2,5%+2,5% 30г";"899";"https://zdravcity.ru/p_anesta-a-krem-d-mestn-i-nar-prim-2-5-2-5-tuba-30g-0150899.html";"Аджио Фармацевтикалз Лтд."
"Анеста-А крем д/местн. и нар. прим. 2,5%+2,5% 60г";"1235";"https://zdravcity.ru/p_anesta-a-krem-d-mestn-i-nar-prim-2-5-2-5-tuba-60g-0150900.html";"Аджио Фармацевтикалз Лтд."
"Экспресс-тест РЭД на грипп А+В для применения в домашних условиях";"590";"https://zdravcity.ru/p_jekspress-test-na-gripp-a-v-dlja-primenenija-v-domashnih-uslovijah-0091807.html";"ООО РЭД"
"От А до Цинка таблетки Doppelherz/Доппельгерц Activ 1,5 г 30 шт.";"421";"https://zdravcity.ru/p_doppelgerc-aktiv-ot-a-do-cinka-tab-1-5g-n30-0010355.html";"Queisser Pharma"
"От А до Цинка персик-маракуйя таблетки шип. Doppelherz/Доппельгерц Activ 1,57г 15шт";"253";"https://zdravcity.ru/p_doppelgerc-aktiv-ot-a-do-cinka-tab-ship-persik-marakujja-1568mg-n15-0013201.html";"Queisser Pharma"
"Иов-Венум капли гомеопат. 25мл";"210";"https://zdravcity.ru/p_iov-venum-kapli-gomeopat-25ml-0004538.html";"ООО Талион-<span style='background-color: #d8d8d8'>А</span>"
"Флюид A-Derma (А-Дерма) Phys-AC Perfect против дефектов кожи склонной к акне 40 мл";"0";"https://zdravcity.ru/p_a-derma-phys-ac-perfect-fljuid-protiv-defektov-kozhi-sklonnoj-k-akne-40ml-c76061-0094242.html";"Pierre Fabre Dermocosmetique"
"Мовипреп порошок для приг раствора для внут. прим. саше А 111,896 г 2 шт.+ саше Б 10,600г 2 шт.";"806";"https://zdravcity.ru/p_moviprep-por-d-r-ra-vnutr-sashe-a-111-896-g-n-2-sashe-b-10-600g-n2-0028837.html";"Норджин Лимитед"
"Зидена таблетки п.п.о. 100мг 4 шт.";"2058";"https://zdravcity.ru/p_zidena-tab-p-o-100mg-n4-0005277.html";"Валента Фармацевтика/ Донг-<span style='background-color: #d8d8d8'>А</span>"
"Пробиолог капсулы 1млрд. КОЕ 30 шт.";"423";"https://zdravcity.ru/p_probiolog-kaps-1mlrd-koe-180mg-n30-0010796.html";"Хр. Хансен <span style='background-color: #d8d8d8'>А</span>/С"
"Зидена таблетки п.п.о. 100мг 1 шт.";"818";"https://zdravcity.ru/p_zidena-tab-p-o-100mg-n1-0004597.html";"Валента Фармацевтика/ Донг-<span style='background-color: #d8d8d8'>А</span>"
"Крем Акулья сила ночной для лица Акулий жир,Омега 3 и А,Е,F от морщин с лифтинг эффектом 50 мл";"150";"https://zdravcity.ru/p_akulja-sila-ljuks-krem-nochnoj-dlja-lica-ot-morschin-s-lifting-jeffektom-akulij-zhir-omega-3-i-vitam-0095521.html";"Твинс Тэк"
"Ксефокам Рапид таблетки п.п.о. 8мг 12 шт.";"320";"https://zdravcity.ru/p_ksefokam-rapid-tab-p-p-o-8mg-n12-0017161.html";"Такеда Фарма <span style='background-color: #d8d8d8'>А</span>/С"
"Ресвега Форте капсулы 920мг 60 шт.";"1189";"https://zdravcity.ru/p_resvega-kaps-920mg-n60-bad-0094390.html";"Swiss Caps Romania S.R.L."
"Бромгексин таб. 8мг 50шт";"62";"https://zdravcity.ru/p_bromgeksin-tab-8mg-n50-0016034.html";"ПАО Биосинтез"
"Бромгексин др. 8мг 25 шт.";"140";"https://zdravcity.ru/p_bromgeksin-dr-8mg-n25-0011265.html";"Berlin-Chemie"
"Бромгексин таблетки 0,008г 50 шт.";"91";"https://zdravcity.ru/p_bromgeksin-tab-0-008g-n50-0090222.html";"Озон ООО"
"Бромгексин таблетки 8мг 20 шт.";"52.25";"https://zdravcity.ru/p_bromgeksin-tab-8mg-n20-0016702.html";"Озон ООО"
"Бромгексин таблетки 4мг 50 шт.";"0";"https://zdravcity.ru/p_bromgeksin-tab-4mg-n50-0011313.html";"АО Акрихин"
"Бромгексин таблетки 8мг 20 шт.";"40";"https://zdravcity.ru/p_bromgeksin-tab-8mg-n20-0009199.html";"ОАО Фармстандарт (ICN) Лексредства г.Курск"
"Бромгексин таблетки 8мг 28 шт.";"92";"https://zdravcity.ru/p_bromgeksin-tab-8mg-n28-0026263.html";"АО Обновление ПФК"
"Бромгексин таблетки 8мг 20 шт.";"82";"https://zdravcity.ru/p_bromgeksin-tab-8mg-n20-0011955.html";"АО Акрихин"
"Бромгексин Медисорб таб. 8мг 50 шт.";"50";"https://zdravcity.ru/p_bromgeksin-medisorb-tab-8mg-n50-0097699.html";"АО Медисорб"
"Бромгексин сироп 4мг/5мл фл.100мл";"69";"https://zdravcity.ru/p_bromgeksin-sirop-4mg-5ml-fl-100ml-0092684.html";"ООО"
"Бромгексин таб. д/детей 4мг 50шт";"71";"https://zdravcity.ru/p_bromgeksin-tab-d-detej-4mg-50sht-0157123.html";"Озон ООО"
"Бромгексин абрикос сироп 4мг/5мл 100мл";"136";"https://zdravcity.ru/p_bromgeksin-sirop-abrikos-4mg-5ml-100ml-0002918.html";"Фармстандарт-Лексредства ОАО"
"Бромгексин-Акрихин сироп 4мг/5мл 100мл";"216";"https://zdravcity.ru/p_bromgeksin-akrihin-sirop-4mg-5ml-100ml-n1-0026412.html";"Медана Фарма А.О."
"Бромгексин Гриндекс сироп 4мг/5мл фл. 100 мл";"256";"https://zdravcity.ru/p_bromgeksin-sirop-4mg-5ml-fl-100ml-0121299.html";"АО Гриндекс"
"Бромгексин гриндекс таблетки для детей 4 мг 50шт";"123";"https://zdravcity.ru/p_bromgeksin-grindeks-tab-d-det-4-mg-n50-0101559.html";"АО Гриндекс"
"Бромгексин раствор для внут. прим. 4мг/5мл 60мл";"137";"https://zdravcity.ru/p_bromgeksin-r-r-d-priema-vnutr-4mg-5ml-60ml-0085683.html";"Озон ООО"
"Бромгексин раствор для внут. прим. 4мг/5мл 60мл";"208";"https://zdravcity.ru/p_bromgeksin-r-r-vnutr-4mg-5ml-60ml-0008565.html";"Berlin-Chemie"
"Бромгексин р-р д/приема внутрь 4мг/5мл 60мл";"109";"https://zdravcity.ru/p_bromgeksin-r-r-d-priema-vnutr-4mg-5ml-fl-60ml-n1-0144897.html";"Тульская фармацевтическая фабрика ООО"
"Бромгексин Штада р-р для приема вн. 0,8мг/мл 150мл";"165";"https://zdravcity.ru/p_bromgeksin-nikomed-r-r-vnutr-0-8mg-ml-150ml-0004340.html";"Такеда Фарма Сп. з о.о."
"Аскорил таблетки 50 шт.";"842";"https://zdravcity.ru/p_askoril-tab-n50-0003252.html";"Гленмарк Фармасьютикалз ЛТД"
"Аскорил таблетки 20 шт.";"368";"https://zdravcity.ru/p_askoril-tab-n20-0014656.html";"Гленмарк Фармасьютикалз ЛТД"
"Вулнузан мазь 45г";"0";"https://zdravcity.ru/p_vulnuzan-maz-45g-0009591.html";"Sopharma AD"
"Вермокс таблетки 100мг 6 шт.";"96";"https://zdravcity.ru/p_vermoks-tab-100mg-n6-0008038.html";"Гедеон Рихтер Румыния А.О."
"Одестон таблетки 200мг 50 шт.";"540";"https://zdravcity.ru/p_odeston-tab-200mg-n50-0011948.html";"Polfa Pabianice"
"Одестон таблетки 200мг 20 шт.";"377";"https://zdravcity.ru/p_odeston-tab-200mg-n20-0013001.html";"Polfa Pabianice"
"Одестон Форте таб. 400мг №50";"749";"https://zdravcity.ru/p_odeston-forte-tab-400mg-n50-0118443.html";"АО"
"Одестон таблетки 200мг 100 шт.";"765";"https://zdravcity.ru/p_odeston-tab-200mg-n100-0015376.html";"АО"
"Одестон Форте таб. 0,4г 50шт";"0";"https://zdravcity.ru/p_odeston-forte-tab-0-4g-50sht-0165200.html";"АО Адамед Фарма"
"Верошпирон таблетки 25мг 20 шт.";"0";"https://zdravcity.ru/p_veroshpiron-tab-25mg-n20-0014906.html";"ОАО Гедеон Рихтер"
"Верошпирон капсулы 50мг 30 шт.";"179";"https://zdravcity.ru/p_veroshpiron-kaps-50mg-n30-0087758.html";"АО"
"Верошпирон капсулы 100мг 30 шт.";"283";"https://zdravcity.ru/p_veroshpiron-kaps-100mg-n30-0087759.html";"АО"
"Верошпирон таб. 25мг 20 шт.";"93";"https://zdravcity.ru/p_veroshpiron-tab-25mg-n20-0095899.html";"АО"
"Либексин таблетки 100мг 20 шт.";"611";"https://zdravcity.ru/p_libeksin-tab-100mg-n20-0008650.html";"Chinoin"
"Либексин Муко сироп 5% 125мл";"614";"https://zdravcity.ru/p_libeksin-muko-sirop-5-125ml-0008502.html";"Юнитер Ликвид Мануфэкчуринг/А. Наттерманн энд Сие ГмбХ"
"Либексин Муко сироп детск. 2% 125мл";"563";"https://zdravcity.ru/p_libeksin-muko-sirop-detsk-2-125ml-0004976.html";"Юнитер Ликвид Мануфэкчуринг/А.Наттерманн энд Сие"
"Индовазин гель 45г";"288";"https://zdravcity.ru/p_indovazin-gel-45g-0008481.html";"Balkanpharma"
"Метоклопрамид таб. 10 мг №50";"37";"https://zdravcity.ru/p_metoklopramid-tab-10-mg-n50-0091067.html";"Борисовский завод медицинских препаратов ОАО"
"Метоклопрамид таб.10 мг №56 Renewal";"36";"https://zdravcity.ru/p_metoklopramid-tab-10mg-n56-0026316.html";"АО Обновление ПФК"
"Метоклопрамид раствор для в/в и в/м введ. 0,5% 2мл 10 шт.";"114";"https://zdravcity.ru/p_metoklopramid-r-r-v-v-i-v-m-0-5-2ml-n10-0023734.html";"ЗАО Сотекс"
"Метоклопрамид Велфарм р-р в/в в/м введ. 5 мг/мл 2мл №10";"109";"https://zdravcity.ru/p_metoklopramid-velfarm-r-r-v-v-v-m-vved-5-mg-ml-2ml-n10-0101998.html";"Велфарм ООО"
"Метоклопрамид р-р в/в и в/м введ. 5мг/мл 2мл амп. №10";"73";"https://zdravcity.ru/p_metoklopramid-r-r-v-v-i-v-m-vved-5mg-ml-2ml-amp-n10-0092799.html";"ООО ЭЛЛАРА"
"Метоклопрамид р-р для в/в и в/м введ. 5мг/мл 2мл №10";"0";"https://zdravcity.ru/p_metoklopramid-r-r-dlja-v-v-i-v-m-vved-5mg-ml-2ml-n10-0090298.html";"Биохимик АО"
"Метоклопрамид р-р для в/в и в/м введ. 5мг/мл 2мл 10шт";"65";"https://zdravcity.ru/p_metoklopramid-r-r-dlja-v-v-i-v-m-vved-5mg-ml-2ml-n10-0143691.html";"Озон ООО/Моск.эндокринный з-д/Биохимик АО"
"Метоклопрамид-Виал р-р для в/в и в/м введ. 5мг/мл амп. 2мл №10";"47";"https://zdravcity.ru/p_metoklopramid-vial-r-r-dlja-v-v-i-v-m-vved-5mg-ml-amp-2ml-n10-0118412.html";"Си Эс Пи Си Оуи Фармасьютикал Ко.Лтд"
"Церукал таблетки 10мг 50 шт.";"115";"https://zdravcity.ru/p_cerukal-tab-10mg-n50-0000253.html";"Плива Хрватска д.о.о"
"Церукал раствор для в/в и в/м введ. 5мг/мл 2мл 10 шт.";"222";"https://zdravcity.ru/p_cerukal-r-r-v-v-i-v-m-vved-5mg-ml-2ml-n10-0091729.html";"Меркле ГмбХ"
"Церукал р-р в/в и в/м введ. 5 мг/мл амп. 2мл №10";"0";"https://zdravcity.ru/p_cerukal-r-r-v-v-i-v-m-0-5-2ml-n10-0005825.html";"Pliva Hrvatska d.o.o."
"Метоклопрамид р-р в/в и в/м 0,5% 2мл n10";"0";"https://zdravcity.ru/p_metoklopramid-r-r-v-v-i-v-m-0-5-2ml-n10-0012472.html";"ОАО Новосибхимфарм"
"Метоклопрамид раствор для в/в и в/м введ. 5мг/мл 2мл 10 шт.";"0";"https://zdravcity.ru/p_metoklopramid-r-r-v-v-i-v-m-5mg-ml-2ml-n10-0016800.html";"ФГУП Моск.эндокринный завод"
"Метоклопрамид раствор для в/в и в/м введения 5 мг/мл ампулы 2 мл 10шт";"0";"https://zdravcity.ru/p_metoklopramid-r-r-dlja-v-v-i-v-m-vved-5-mg-ml-amp-2-ml-n10-0101687.html";"ПАО Биосинтез"
"L-Тироксин 50 Берлин-Хеми таблетки 50мкг 50 шт.";"98";"https://zdravcity.ru/p_l-tiroksin-50-berlin-hemi-tab-50mkg-n50-0013986.html";"Berlin-Chemie"
"L-Тироксин 125 Берлин-Хеми таблетки 125мкг 100 шт.";"168";"https://zdravcity.ru/p_l-tiroksin-125-berlin-hemi-tab-125mkg-n100-0004580.html";"<span style='background-color: #d8d8d8'>Берлин</span>-<span style='background-color: #d8d8d8'>Хеми</span> АГ"
"L-Тироксин 75 Берлин-Хеми таблетки 75мкг 100 шт.";"0";"https://zdravcity.ru/p_l-tiroksin-75-berlin-hemi-tab-75mkg-n100-0003923.html";"Berlin-Chemie AG/Menarini Group"
"L-Тироксин 100 Берлин-Хеми таблетки 100мкг 50 шт.";"0";"https://zdravcity.ru/p_l-tiroksin-100-berlin-hemi-tab-100mkg-n50-0011758.html";"Berlin-Chemie"
"L-Тироксин 150 Берлин-Хеми таблетки 150мкг 100 шт.";"166";"https://zdravcity.ru/p_l-tiroksin-150-berlin-hemi-tab-150mkg-n100-0010386.html";"Berlin-Chemie AG/Menarini Group"
"L-Тироксин 100 Берлин-Хеми таблетки 100мкг 100 шт.";"142";"https://zdravcity.ru/p_l-tiroksin-100-berlin-hemi-tab-100mkg-n100-0011139.html";"Berlin-Chemie"
"Лив-52 таблетки 100 шт.";"393";"https://zdravcity.ru/p_liv-52-tab-n100-0007005.html";"Himalaya Drug"
"Ливео 4 капсулы 15 шт.";"662";"https://zdravcity.ru/p_liveo-4-kaps-n15-0003312.html";"Sagitus Ltd."
"Ливарол суппозитории вагинал. 400мг 10 шт.";"856";"https://zdravcity.ru/p_livarol-supp-vag-400mg-n10-0004615.html";"Нижфарм ОАО"
"Компливит АКТИВные Детишки пастилки жевательные 4,5г 30 шт.";"336";"https://zdravcity.ru/p_komplivit-aktivnye-detishki-pastilki-zhev-4-5g-n30-bad-0102660.html";"ZPC"
"Компливит витамины + минералы таб. 30 шт.";"160";"https://zdravcity.ru/p_komplivit-tab-p-o-n30-0018135.html";"ОАО Фармстандарт-УфаВИТА"
"Компливит витамины + минералы таб. 60 шт.";"206";"https://zdravcity.ru/p_komplivit-tab-p-o-n60-0008043.html";"ОАО Фармстандарт-УфаВИТА"
"Компливит триместрум таб. п.о 1 триместр n30";"0";"https://zdravcity.ru/p_komplivit-trimestrum-tab-p-o-1-trimestr-n30-0008168.html";"ОАО Фармстандарт-УфаВИТА"
"Компливит таб. п.о понижен сахар n60";"205";"https://zdravcity.ru/p_komplivit-tab-p-o-ponizhen-sahar-n60-0007125.html";"Фармстандарт-Уфавита Уфимский витаминный з-д ОАО"
"Компливит таб. п.о понижен сахар n365";"938";"https://zdravcity.ru/p_komplivit-tab-p-o-ponizhen-sahar-n365-0005752.html";"Фармстандарт-Уфавита Уфимский витаминный з-д ОАО"
"Компливит Формула роста волос, витамины + минералы капс. 30 шт.";"558";"https://zdravcity.ru/p_komplivit-formula-rosta-volos-kaps-n30-bad-0088497.html";"ОАО"
"Компливит Суперэнергия с женьшенем, витамины + минералы 10 таб. шипучих";"314";"https://zdravcity.ru/p_komplivit-superjenergija-s-zhenshenem-tab-ship-n10-bad-0087802.html";"Swiss Caps Gmbh"
"Поливитаминный минеральный комплекс для женщин Risingstar таб. 1г 60шт";"946";"https://zdravcity.ru/p_polivitaminnyj-mineralnyj-kompleks-dlja-zhenschin-risingstar-tab-1g-60sht-0153225.html";"ООО В-МИН+"
"Компливит Актив жевательный (банан), витамины для детей + минералы 30 шт.";"204";"https://zdravcity.ru/p_komplivit-aktiv-tab-zhev-banan-n30-0008371.html";"Фармстандарт-Уфавита Уфимский витаминный з-д ОАО"
"Компливит МАМА для беременных и кормящих, витамины + минералы таб. 30 шт.";"282";"https://zdravcity.ru/p_komplivit-mama-tab-p-o-n30-0011671.html";"ОАО Фармстандарт-УфаВИТА"
"Компливит витамины для женщин 45+, таб. 30 шт.";"375";"https://zdravcity.ru/p_komplivit-d-zhenschin-45-tab-p-o-n30-0008393.html";"Фармстандарт-Уфавита Уфимский витаминный з-д ОАО"
"Компливит Мама витамины и минералы для беременных и кормящих женщин таб. п/о плён. 60 шт.";"484";"https://zdravcity.ru/p_komplivit-mama-tab-p-o-n60-0004948.html";"ОАО Фармстандарт-УфаВИТА"
"Клирвин крем для лица отбеливающий от веснушек и пигментных пятен туба 100г";"210";"https://zdravcity.ru/p_klirvin-krem-dlja-lica-otbelivajuschij-ot-vesnushek-i-pigmentnyh-pjaten-tuba-100g-0089986.html";"РеалКосметикс/Корвет Фарма ООО"
"Компливит Кальций Д3 Голд, витамины для женщин таб. 60 шт.";"884";"https://zdravcity.ru/p_komplivit-kalcij-d3-gold-tab-p-o-n60-bad-0089543.html";"ОАО Фармстандарт-УфаВИТА"
"Сумамед таблетки п.п.о. 125мг 6 шт.";"320";"https://zdravcity.ru/p_sumamed-tab-p-p-o-125mg-n6-0011393.html";"Плива Хрватска д.о.о"
"Динамико таблетки п.п.о. 100мг 1 шт.";"544";"https://zdravcity.ru/p_dinamiko-tab-p-o-100mg-n1-0015085.html";"Плива Хрватска д.о.о."
"Динамико таблетки п.п.о. 100мг 4 шт.";"977";"https://zdravcity.ru/p_dinamiko-tab-p-o-100mg-n4-0015084.html";"Плива Хрватска д.о.о."
"Но-шпа- таблетки 64 шт.";"184";"https://zdravcity.ru/p_no-shpa-tab-40mg-n64-0093294.html";"Хиноин Завод Фармацевтических и Химических Продуктов ЗАО"
"Но-шпа - таблетки п.п.о. 24 шт.";"123";"https://zdravcity.ru/p_no-shpa-tab-40mg-n24-0002279.html";"Хиноин Завод Фармацевтических и Химических Продуктов ЗАО"
"Но-шпа форте - таблетки 10 шт.";"72";"https://zdravcity.ru/p_no-shpa-forte-tab-80-mg-n10-0095556.html";"Chinoin"
"Но-шпа  таблетки 40мг 100 шт";"211";"https://zdravcity.ru/p_no-shpa-tab-40mg-n100-0007832.html";"Хиноин Завод Фармацевтических и Химических Продуктов ЗАО"
"Но-шпа таблетки п.п.о 40мг 24шт";"0";"https://zdravcity.ru/p_no-shpa-tab-p-o-plen-40mg-n24-0101156.html";"Хиноин Завод Фармацевтических и Химических Продуктов ЗАО"
"Но-шпа форте таб. 80мг N24";"148";"https://zdravcity.ru/p_no-shpa-forte-tab-80mg-n24-0003015.html";"НЕ ОПРЕДЕЛЕНО"
"Но-шпа Дуо таб. 0,04г+0,5г 12шт";"194";"https://zdravcity.ru/p_no-shpa-duo-tab-40mg-500mg-n12-0150698.html";"Хиноин Завод Фармацевтических и Химических Продуктов ЗАО"
"Но-шпа раствор для в/в и в/м введ. 2% 2мл 25 шт.";"434";"https://zdravcity.ru/p_no-shpa-r-r-v-v-i-v-m-2-2ml-n25-0009036.html";"Chinoin"
"Но-шпа раствор для в/в и в/м введ. 2% 2мл 5 шт.";"104";"https://zdravcity.ru/p_no-shpa-r-r-v-v-i-v-m-2-2ml-n5-0011576.html";"Chinoin"
"Шпатель металлический morizo 1 шт";"412";"https://zdravcity.ru/p_shpatel-metallicheskij-morizo-1-sht-0129915.html";"Morizo"
"SPEICK Дезодорант-спрей  ШПАЙК, 75 мл";"869";"https://zdravcity.ru/p_speick-dezodorant-sprej-shpajk-75-ml-0106100.html";"Вальтер Рау ГмбХ энд Ко"
"SPEICK Дезодорант-стик  ШПАЙК, 40 мл";"677";"https://zdravcity.ru/p_speick-dezodorant-stik-shpajk-40-ml-0106104.html";"Вальтер Рау ГмбХ энд Ко"
"SPEICK Дезодорант-спрей мужской  ШПАЙК, 75 мл";"891";"https://zdravcity.ru/p_speick-dezodorant-sprej-muzhskoj-shpajk-75-ml-0106020.html";"WALTER RAU GmbH&Co"
"SPEICK Мыло фирменное  ШПАЙК, 100 г";"349";"https://zdravcity.ru/p_speick-mylo-firmennoe-shpajk-100-g-0106132.html";"Вальтер Рау ГмбХ энд Ко"
"SPEICK Молочко для тела  ШПАЙК, 250 мл";"1237";"https://zdravcity.ru/p_speick-molochko-dlja-tela-shpajk-250-ml-0106115.html";"Вальтер Рау ГмбХ энд Ко"
"SPEICK Гель для душа СЕНСИТИВ  ШПАЙК, 250 мл";"874";"https://zdravcity.ru/p_speick-gel-dlja-dusha-sensitiv-shpajk-250-ml-0106097.html";"Вальтер Рау ГмбХ энд Ко"
"SPEICK Шариковый дезодорант  ШПАЙК, 50 мл";"0";"https://zdravcity.ru/p_speick-sharikovyj-dezodorant-shpajk-50-ml-0106140.html";"Вальтер Рау ГмбХ энд Ко"
"SPEICK Дезодорант-стик мужской  ШПАЙК, 40 мл";"0";"https://zdravcity.ru/p_speick-dezodorant-stik-muzhskoj-shpajk-40-ml-0106022.html";"WALTER RAU GmbH&Co"
"SPEICK Крем для рук ШПАЙК, 50 мл";"0";"https://zdravcity.ru/p_speick-krem-dlja-ruk-shpajk-50-ml-0106111.html";"Вальтер Рау ГмбХ энд Ко"
"SPEICK Крем для бритья мужской  ШПАЙК, 75 мл";"0";"https://zdravcity.ru/p_speick-krem-dlja-britja-muzhskoj-shpajk-75-ml-0106026.html";"WALTER RAU GmbH&Co"
"SPEICK Интенсивный крем для лица мужской ШПАЙК, 50 мл";"0";"https://zdravcity.ru/p_speick-intensivnyj-krem-dlja-lica-muzhskoj-shpajk-50-ml-0106024.html";"WALTER RAU GmbH&Co"
"Кандид крем 1% 20г";"317";"https://zdravcity.ru/p_kandid-krem-1-20g-0011483.html";"Гленмарк Фармасьютикалз ЛТД"
"Кандид б крем 1% 15г";"558";"https://zdravcity.ru/p_kandid-b-krem-1-15g-0008782.html";"НЕ ОПРЕДЕЛЕНО"
"Кандид гель вагинал. 2% 30г";"0";"https://zdravcity.ru/p_kandid-gel-vag-2-30g-0015393.html";"Гленмарк Фармасьютикалз ЛТД"
"Кандид таб. ваг. 500мг n1";"0";"https://zdravcity.ru/p_kandid-tab-vag-500mg-n1-0017372.html";"Glenmark Pharma"
"Кандид-В6 таблетки вагинал. 100мг 6 шт.";"67";"https://zdravcity.ru/p_kandid-v6-tab-vag-100mg-n6-0006189.html";"Гленмарк Фармасьютикалз ЛТД"
"Кандид раствор для наруж. прим. 1% 20мл";"525";"https://zdravcity.ru/p_kandid-r-r-naruzh-1-20ml-0004605.html";"Гленмарк Фармасьютикалз ЛТД"
"Кандид порошок для наруж. прим. 1% 30г";"439";"https://zdravcity.ru/p_kandid-por-naruzhn-1-30g-0007632.html";"Glenmark Pharma"
"Кандид раствор для мест. прим. для полости рта 1% 15мл";"397";"https://zdravcity.ru/p_kandid-r-r-d-mestnogo-primenenija-d-polosti-rta-1-15ml-n1-0014157.html";"Гленмарк Фармасьютикалз ЛТД"
"Кандидерм крем 15г";"575";"https://zdravcity.ru/p_kandiderm-krem-15g-0009109.html";"Glenmark Pharma"
"Кандидерм крем 30г";"857";"https://zdravcity.ru/p_kandiderm-krem-30g-0012271.html";"Гленмарк Фармасьютикалз ЛТД IN"
"Ламизил таблетки 250мг 14 шт.";"2040";"https://zdravcity.ru/p_lamizil-tab-250mg-n14-0007863.html";"Novartis Pharma Produktions GmbH"
"Ламизил Lamisil УНО для лечения грибка стопы, раствор 1%, 4г.";"0";"https://zdravcity.ru/p_lamizil-uno-r-r-1-4g-plenkoobrazujuschij-0010807.html";"Novartis Consumer Health"
"Ламизил Lamisil Крем для лечения грибка стопы, крем 1%, 30г.";"0";"https://zdravcity.ru/p_lamizil-krem-1-30g-0010200.html";"Novartis Consumer Health"
"Lamisil Ламизил Спрей для лечения грибка стопы, спрей 1%, 30мл.";"845";"https://zdravcity.ru/p_lamizil-sprej-naruzhn-1-30ml-0011997.html";"Делфарм Унинж САС"
